1;FACILITA SISTEMAS DE TECNOLOGIA LTDA;24982859000101
3;368 PRODUCOES LTDA - E;26450153000124
4;ALVES ATIVIDADES FISICAS LTDA;22896034000149
5;BNO ENGENHARIA LTDA;40075014000199
6;BRASGRAPHICS COMERCIAL E SERVICOS LTDA;02936918000172
8;CERVEJARIA TRINITY LTDA - E;39304376000125
10;AMELIO BORIN JUNIOR VEICULOS - E;07615881000102
11;ARLETE DE FATIMA PAFFARO;02555157000109
16;ANGELO CUSTODIO DE OLIVEIRA - E;74248840000104
19;ASSOCIACAO VILAREJO DO BOSQUE;32992242000103
20;AURELIO MAMANI VILLCA;12523776000175
22;CALTEC CARTUCHOS E TONNERS LTDA;07591154000144
23;CARLOS LEONARDO ROCHA AGUSTINHO;21827759000112
24;CELSO TOFOLLI VEICULOS;71605935000140
28;CRISTIANE FABIANO VEIGA E RODRIGO FABIANO;12069661800446
32;EA MOTORSPORTS LTDA;35815394000110
33;ERICA REGINA OLIVERO 15851011840 - R;17469530000186
34;EVERTREND SOFTWARE LTDA.;21423874000121
36;776 VESTUARIO ESPORTIVO LIMITADA - E;26195666000136
37;A. BASTOS CORREA LTDA;21888811000140
38;A. FERREIRA DE ALMEIDA;09157480000173
39;A. FERREIRA DE ALMEIDA TREINAMENTO - R;33676488000120
40;ACC COMERCIO E SERVICOS LTDA - R;41305374000100
41;A. M. VICENTIN & VICENTIN LTDA;15016440000104
42;ADEMIR JOSE GUARNIERI VALINHOS;05440013000103
43;ADEMIR SIMAO;20774282000191
45;ADNILSON ZANETI - E;32837044000167
48;ABNER PAULOSSI;04980131000133
50;AIRTON LAZARETTI 71347941800 - R;29483152000174
51;ALONSO & PIERRE LIMITADA - E;10571000000103
55;ACV PLANEJAMENTOS LTDA;42179425000150
56;AD - ED LOGISTICA E GESTAO LTDA;11059127000100
60;ADILSON APARECIDO ORMENESE 02986749801;18659723000162
62;17.874.832 ADILSON BISCOLA JUNIOR - R;17874832000130
63;ANEZIA GOMES PEREIRA DA SILVA;05850886000186
64;ANTONIO TRAJANO DA SILVA FILHO - E;08354632000165
65;ADRIANA APARECIDA KNOTHE DOS SANTOS 06855790852 - R;24722138000162
68;B.A.S. CONSTRUCAO CIVIL LTDA;09091456000189
71;CARLOS ALBERTO BALSEIRO COELHO - R;32657709000150
72;ADRIANA FERREIRA SANTOS 37214978806 - R;26111352000108
76;ADRIANO ALVES JOSE 30168125846 - R;33106262000194
77;BRANDINI COMERCIO DE CALCADOS LTDA - R;32893910000137
79;BRITO BUFFET LTDA - E;12375098000140
80;C.A.E.E. ADMINISTRACAO DE BENS E PARTICIPACOES LTDA;31632774000169
81;19.763.819 CAMILA ROBERTA MARQUES VALDEZ - E;19763819000139
83;CASSIA SUZANA JULIATO LTDA;08605964000175
85;CHAVES & PENTEADO LIMITADA - R;09427125000177
86;CIASCA JOIA DE ATELIE LTDA;24831269000188
87;CLARICE RODRIGUES GOUVEIA TOFOLO - E;08402742000155
88;20.466.200 CLAUDIA REGINA BUENO - R;20466200000141
89;ADRIANO ORMENESE 37565261866;27924191000134
93;AGUINALDO PURIDELI 18076687896 - R;24077756000105
96;CONNDOR INTERMEDIACAO DE NEGOCIOS LTDA;67107300000145
97;ALAN CARLOS MATTIAZZO;08944665000165
98;DENTAL VALINHOS REPRESENTACOES LTDA;09506104000147
100;DIDIO MOTOS PECAS E SERVICOS LIMITADA;10452517000175
102;DUCENA JOIAS LTDA - R;27528757000109
105;ALESANDRA PAFARO - R;11465683000179
106;ALESSANDRA CORAINE FERREIRA 25663867813 - R;42378149000159
107;ALESSANDRO IKEHARA 27367300890 - R;35833158000127
108;ALEXANDRE SIGRIST DE MARTIN - E;38502523000109
109;ALGR GERENCIAMENTO E ADMINISTRACAO LTDA;29886718000109
114;ECOCONNECT AGENCIAMENTOS DE SERVICOS E NEGOCIOS LTDA - R;32205459000118
115;EDILSON CAMPOS DO NASCIMENTO;24012438000158
116;BROCCHI SERVICOS ADMINISTRATIVOS LTDA;03135585000145
117;ENTERPRISE ELECTRONICS LTDA - R;11087598000114
120;AMAL - EMPREENDIMENTOS E MINERADORA ALVORADA LTDA;58181538000120
125;FIRE FIGHTING BOMBEIROS INDUSTRIAIS LTDA;00668328000180
126;FLORA MANTO VERDE LTDA - E;31460267000195
127;AMANDA CARDOSO TONON 31854847899 - R;16825336000123
130;FOURGE GAMES BRASIL LTDA - R;24177447000107
134;FREDERIK HENDRIK ANTONIUS GEUER LTDA;20396484000147
139;GAIA DESENVOLVIMENTO E PARTICIPACOES LTDA;27355290000142
140;GALINA & CANAVASSI LIMITADA;24276824000157
141;GANASH BISTRO LTDA - E;10781170000104
142;GDFL - CERVEJAS ESPECIAIS LTDA;22856193000110
143;GEFFERSON FERNANDO MARIANO;22394248800168
144;GENERAL FRAME LTDA - R;40838277000102
146;GHM EMPREENDIMENTOS IMOBILIARIOS LTDA.;13459226000105
147;GIANONI & GIANONI LTDA;27006328000171
151;GMZ LOGISTICA LTDA;35782307000176
152;GONCALVES & GONCALVES TRANSPORTES LTDA;32837093000108
153;GRAZIELA FALSARELLA E SILVA 30637916875 - R;29494446000100
157;HELIO RIBEIRO RES 28216792972 - E;33248901000156
159;IHS ASSESSORIA EMPRESARIAL LTDA - R;36199383000116
160;INFRATECH COMERCIO E INSTALACAO DE ENERGIA ELETRICA E INFORMATICA LTDA - R;35183275000192
161;SS GRAPHICS LABEL LTDA;41699252000138
163;INSTITUTO ESPERANCA;73077604000452
165;J. A. BALTAZAR ANDO - R;28575245000166
166;JABALI & COUTINHO S/S LTDA;22158613000194
167;20.860.794 JAILSON DE GODOY VERGILIO - R;20860794000170
169;JMLP EMBALAGENS LTDA - R;41751684000140
170;28.367.260 JOCERLANDIO MENDES MONTEIRO - R;28367260000119
171;JOLICOLOR COMERCIO DE ETIQUETAS ADESIVAS LTDA;66157991000129
172;JOLICOLOR SIGNS COMERCIAL LTDA;14070085000199
173;JOSE CARLOS LORENTE - R;29261383000133
175;JOSINEIA FABIANO E LUIZ ROBERTO FABIANO;08316849000180
176;JS SKAN PUMPS COMERCIO DE BOMBAS E EQUIPAMENTOS LTDA - R;42359837000171
177;JSL AQUECIMENTO E REFRIGERACAO LTDA - R;37847719000172
178;JUSSARA NEVES DE LIMA VILLENA - R;31609459000110
179;JUVINI COMERCIO DE VEICULOS LTDA;28172397000118
181;KAGEBRAS COMERCIO, IMPORTACAO E REPRESENTACAO LTDA;39675873000130
182;KEROJA ESSENCIAS E COMERCIO LTDA;41696716000152
183;KETRWY DE FATIMA OLIVEIRA;13477626000135
185;KLT DEVELOPMENT LTDA - E;41768501000108
188;LACS BATATAS LTDA - E;22228879000166
189;LAPS ESTAMPAGEM E COMERCIO DE PLACAS VEICULARES LTDA - E;36471833000188
190;LEAF ROUPARIA LTDA;33487586000110
191;LEANDRO LIMA PRADO;04568171000172
193;LIZ ANGELA DA COSTA SILVA - E;19645631000196
194;LM SILVEIRA EMPREENDIMENTOS IMOBILIARIOS LTDA;20404567000130
