1;24982859000101;FACILITA SISTEMAS DE TECNOLOGIA LTDA
22;07591154000144;CALTEC CARTUCHOS E TONNERS LTDA
24;71605935000140;CELSO TOFOLLI VEICULOS
68;09091456000189;B.A.S. CONSTRUCAO CIVIL LTDA
80;31632774000169;C.A.E.E. ADMINISTRACAO DE BENS E PARTICIPACOES LTDA
98;09506104000147;DENTAL VALINHOS REPRESENTACOES LTDA
109;29886718000109;ALGR GERENCIAMENTO E ADMINISTRACAO LTDA
114;32205459000118;ECOCONNECT AGENCIAMENTOS DE SERVICOS E NEGOCIOS LTDA
120;58181538000120;AMAL - EMPREENDIMENTOS E MINERADORA ALVORADA LTDA
125;00668328000180;FIRE FIGHTING BOMBEIROS INDUSTRIAIS LTDA
137;12822076000181;G30 PARTICIPACOES S.A.
139;27355290000142;GAIA DESENVOLVIMENTO E PARTICIPACOES LTDA
146;13459226000105;GHM EMPREENDIMENTOS IMOBILIARIOS LTDA.
151;35782307000176;GMZ LOGISTICA LTDA
152;32837093000108;GONCALVES & GONCALVES TRANSPORTES LTDA
160;35183275000192;INFRATECH COMERCIO E INSTALACAO DE ENERGIA ELETRICA E INFORMATICA LTDA
166;22158613000194;JABALI & COUTINHO S/S LTDA
171;66157991000129;JOLICOLOR COMERCIO DE ETIQUETAS ADESIVAS LTDA
172;14070085000199;JOLICOLOR SIGNS COMERCIAL LTDA
179;28172397000118;JUVINI COMERCIO DE VEICULOS LTDA
181;39675873000130;KAGEBRAS COMERCIO, IMPORTACAO E REPRESENTACAO LTDA
196;45528403000146;LUCIANO BEZERRA DA SILVA
233;29039141000108;MAVA PARTICIPACOES LTDA
234;08448834000176;MEDICAL CENTER OFFICE ROOM S/S LTDA
257;50932946000164;ORACI GOTARDO & CIA LTDA
280;13312262000133;QUIOSQUE BAR LTDA
281;18677966000123;R. A. MOREIRA ENGENHARIA S/S LIMITADA
292;12121686000158;REAL VEREDA TRANSPORTES LTDA
293;13881609000169;RF VALINHOS COMERCIO E SERVICOS AUTOMOTIVOS LTDA
324;15012182000198;STRUDEL DO PORTO LTDA
353;34163459000128;VENDESK PLATAFORMA DIGITAL DE VENDAS LTDA
360;31774138000171;WR SECURITIZADORA S.A.
363;21215158000159;ZANARDI PARTICIPACOES LTDA
