CÓDIGO;CNPJ;NOME;CLIENTE;FORNECEDOR;STATUS
CÓDIGO;CNPJ;NOME;CLIENTE;FORNECEDOR;STATUS
CÓDIGO;CNPJ;NOME;CLIENTE;FORNECEDOR;STATUS
CÓDIGO;CNPJ;NOME;CLIENTE;FORNECEDOR;STATUS
CÓDIGO;CNPJ;NOME;CLIENTE;FORNECEDOR;STATUS
CÓDIGO;CNPJ;NOME;CLIENTE;FORNECEDOR;STATUS
CÓDIGO;CNPJ;NOME;CLIENTE;FORNECEDOR;STATUS
CÓDIGO;CNPJ;NOME;CLIENTE;FORNECEDOR;STATUS
CÓDIGO;CNPJ;NOME;CLIENTE;FORNECEDOR;STATUS
CÓDIGO;CNPJ;NOME;CLIENTE;FORNECEDOR;STATUS
CÓDIGO;CNPJ;NOME;CLIENTE;FORNECEDOR;STATUS
CÓDIGO;CNPJ;NOME;CLIENTE;FORNECEDOR;STATUS
CÓDIGO;CNPJ;NOME;CLIENTE;FORNECEDOR;STATUS
CÓDIGO;CNPJ;NOME;CLIENTE;FORNECEDOR;STATUS
CÓDIGO;CNPJ;NOME;CLIENTE;FORNECEDOR;STATUS
1815;123456789;SEII LA;864;361;simples/conta
1815;123456789;SEII LA;0;0;simples/conta
2223;123456789;SEI LA MEU;42;92;simples/conta
2223;123456789;SEI LA MEU;0;0;simples/conta
3186;123456789;SEI LA MEU;142;7;simples/conta
3132;123456789;SEI LA MEU;759;17;simples/conta
3114;123456789;SEI LA MEU 2;42;42;simples/conta
1362;123456789;SEI LA MEU 3;30;180;simples/conta
2238;123456789;SEI LA MEU 4;195;7;simples/conta
1300;123456789;SEI LA MEU;79;0;simples/conta
1300;123456789;SEI LA MEU;0;0;simples/conta
2071;123456789;SEI LA MEU;0;0;simples/conta
3409;123456789;SEI LA MEU;216;130;simples/conta
2116;123456789;SEI LA MEU;0;0;vazio
2116;123456789;SEI LA MEU;142;1;simples/conta
2435;123456789;SEI LA MEU;799;358;simples/conta
1361;123456789;SEI LA MEU;283;81;simples/conta
