19;32992242000103;ASSOCIACAO VILAREJO DO BOSQUE;Isentas
26;71753677000149;CONDOMINIO EDIFICIO PETUNIA;Isentas
153;44637601000185;RECANTO DOS VELHINHOS DE VALINHOS;Imunes
262;11272173000185;APM DA EMEB PREFEITO VICENTE JOSE MARCHIORI;Isentas
263;11123523000141;APM DA EMEI PROFA. NEIZE QUAGLIO MATHEDI;Isentas
291;31823575000138;ASSEMBLEIA DE DEUS MINISTERIO IRMAOS NA FE ;Isentas
298;16502233000122;ASSOCIACAO AMIGOS DA ORQUESTRA DE VIOLAS CULTURA CAIPIRA DE VALINHOS;Isentas
305;51294189000103;ASSOCIACAO CAMPINEIRA DE IMPRENSA;Isentas
307;13491494000104;ASSOCIACAO CIVIL DE MORADORES DO JARDIM IMPERIAL;Isentas
310;04905866000100;ASSOCIA��O CIVIL DE MORADORES DO JARDIM S�O BENTO DO RECREIO - NOSSA A PARTIR DE 21/01/2021;Isentas
312;08173047000169;ASSOCIACAO CIVIL ECO VIDA AMBIENTAL;Isentas
313;08185855000146;ASSOCIACAO COMPLETE VIDA;Isentas
316;28203797000143;ASSOCIACAO CULTURAL E ARTISTICA DE VALINHOS;Isentas
319;08459809000198;ASSOCIACAO DE ARTESAO E ARTISTAS PLASTICOS DE VALINHOS;Isentas
322;51299121000117;ASSOCIACAO DE ESPORTES PALMEIRINHAS;Isentas
325;35566621000111;ASSOCIACAO DE FOMENTO A AUTONOMIA;Isentas
327;29435857000116;ASSOCIACAO DE GUIAS E MONITORES DE TURISMO;Isentas
328;29378687000185;ASSOCIACAO DE MORADORES RECANTO DOS PASSAROS;Isentas
329;10345242000170;ASSOCIACAO DE MOTOCICLISTAS MOTO CLUBE TIGRE DO VALE;Isentas
331;11267969000140;ASSOCIACAO DE PAIS E MESTRES DA EMEB ANTONIO FAVRIN;Isentas
333;11272205000142;ASSOCIACAO DE PAIS E MESTRES DA EMEB EMELY TOFOLO MACHADO;Isentas
334;52350329000186;ASSOCIACAO DE PAIS E MESTRES DA EMEB TOMOHARU KIMBARA;Isentas
335;11272189000198;ASSOCIACAO DE PAIS E MESTRES EMEB ANGELA TURCATTI;Isentas
336;11272180000187;ASSOCIACAO DE PAIS E MESTRES EMEB DOM AGNELO ROSSI;Isentas
337;21755722000126;ASSOCIACAO DE PRESERVACAO HISTORICA DE VALINHOS - APHV;Isentas
339;07177032000106;ASSOCIACAO DESPORTIVA E CULTURAL VALINHENSE DE KUNG FU SHAOLIN DO NORTE;Isentas
340;31935253000180;ASSOCIACAO DOS CORREDORES DE VALINHOS - ACOVAL;Isentas
341;14432407000100;ASSOCIA��O DOS MORADORES DO PARQUE VALINHOS - NOSSA A PARTIR DE 30/09/2011;Isentas
342;17023163000192;ASSOCIACAO DOS PROPRIETARIOS DO LOTEAMENTO CEDROS DO LIBANO;Isentas
345;36364535000199;ASSOCIACAO DOS PROPRIETARIOS E MORADORES DO RESIDENCIAL WALDIR BERNARDINETTI, RESIDENCIAL CHIRLEY CORAZZARI BERNARDINETTI E RESIDENCIAL HELENA DI SANTI BERNARDINETTI - ABERTURA EM 21/02/2020;Isentas
347;01382850000164;ASSOCIACAO DOS PROPRIETARIOS EM VILLA MONTEVERDE;Isentas
348;20120625000102;ASSOCIA��O DOS SERVIDORES PUBLICOS D MUNICIPIO VALINHOS NOSSA08/2017;Isentas
350;26569144000157;ASSOCIACAO EDUCACIONAL, CULTURAL E DESPORTIVO JOVEM FLORESTA DE KUNG FU;Isentas
352;15468634000140;ASSOCIACAO ESPIRITA - GRUPO LUZ E ESPERANCA - NOSSA A PARTIR DE 23/09/2020;Isentas
355;29011914000130;ASSOCIACAO ESPORTIVA DO JARDIM PINHEIROS;Isentas
359;08382027000106;ASSOCIACAO HABITACIONAL PRO-MORADIA DE VALINHOS, VINHEDO E LOUVEIRA;Isentas
361;08275185000159;ASSOCIACAO IGREJA EVANGELICA PENTECOSTAL NASCIDO DE DEUS;Isentas
364;06789232000157;ASSOCIACAO PROTETORA DOS ANIMAIS DE VALINHOS;Isentas
365;22005172000190;ASSUMA - ASSOCIACAO PARA SUSTENTABILIDADE E MEIO AMBIENTE;Isentas
376;30757550000110;BEM VIVER, ASSOCIACAO DE PSORIASE DE CAMPINAS E RMC;Isentas
419;29538593000126;CASA DE ACOLHIDA SANTA RITA DE CASSIA - VILA SOLIDARIA;Imunes
466;16501766000190;COMISS�O PROVIS�RIA DO PARTIDO VERDE - PV - VALINHOS - SP - NOSSA A PARTIR DE 28/08/2020;Imunes
467;38305754000122;COMUNIDADE EVANGELICA GERA��O DE DEUS - DATA DE ABERTURA 06/08/2020;Imunes
470;38831799000130;COMUNIDADE EVANGELICA HERDEIROS DE DEUS - DATA DE ABERTURA 31/08/2020;Imunes
471;42717737000170;COMUNIDADE FILANTROPICA FOCO FRATERNO - DATA ABERTURA EM 27/05/2021 NOSSA A PARTIR DE 21/07/2021;Isentas
617;24374930000173;FORUM DAS ENTIDADES ASSISTENCIAS DE VALINHOS - FEAV;Isentas
666;04238645000118;GRUPO ESCOTEIRO VALINHOS N. 252;Isentas
679;20637631000123;IGREJA DE DEUS NO BRASIL - RESIDENCIAL SAO LUIZ, VALINHOS - SP;Isentas
680;08454889000199;IGREJA EVANGELICA PENTECOSTAL BETEL;Imunes
681;27112511000151;IGREJA PROJETO DE DEUS;Imunes
682;03962948000116;IGREJA REMANESCENTE DUALISTA DOS PRIMOGENITOS;Imunes
684;27179905000127;INCENTIVA MAIS CIDADAO;Isentas
686;21780786000187;INSTITUTO GRAVA GRUPO DE APOIO A VIDA E AO AMBIENTE;Isentas
822;26217564000174;TEMPLO DE UMBANDA CASA DE ARUANDA;Imunes
910;04547241000106;SEIS +1CIA. DE DANCA;Isentas
937;46237475000105;LOJA MACONICA INCONFIDENCIA TERCEIRO MILENIO;Isentas
980;25275247000141;REDE SUSTENTABILIDADE - COMISSAO PROVISORIA MUNICIPAL;Imunes
1014;13163754000104;PODEMOS - VALINHOS - SP - MUNICIPAL - ANTIGA: PARTIDO TRABALHISTA NACIONAL - CONF. E-MAIL EM 25/09/2020;Imunes
1037;04049123000178;PARTIDO SOCIALISTA BRASILEIRO - VALINHOS - SP - MUNICIPAL (ANTIGA: PARTIDO SOCIALISTA BRASILEIRO PSB);Imunes
1039;13211975000100;PARTIDO DEMOCR�TICO TRABALHISTA - VALINHOS - SP - MUNICIPAL ( ANTIGO: PARTIDO DEMOCRATICO TRABALHISTA);Imunes
1080;59010744000130;MOVIMENTO DEMOCRATICO BRASILEIRO - VALINHOS - SP - MUNICIPAL;Imunes
1193;06136322000149;ACAO FORTE;Imunes
1245;09179829000178;AMP BRASIL INDUSTRIA E COMERCIO DE PECAS LTDA - EPP;Lucro Presumido
1289;44636637000144;ASSOCIACAO COMERCIAL E INDUSTRIAL DE VALINHOS;Isentas
1290;05332435000157;ASSOCIACAO CULTURAL EDUCACIONAL SOCIAL E ASSISTENCIAL CAPUAVA;Isentas
