3414;11052285000120;A & D COMERCIO DE FERRAGENS LTDA;Lucro Real
288;08636736000162;A. GIGOLOTTI LIMITADA;Lucro Presumido
3688;20982405000180;A.M. LIFE SERVICOS MEDICOS LTDA;Lucro Presumido
3689;11923942000168;A.R. CASTRO PEDIATRIA LTDA;Lucro Presumido
2964;09254402000197;A.S.C CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA;Lucro Presumido
1193;06136322000149;ACAO FORTE;Imunes
1194;19002553000101;ACCELERARE DESENVOLVIMENTO E LICENCIAMENTO DE PROG;Lucro Presumido
1196;29400088000110;ACOCRED FOMENTO MERCANTIL LTDA;Lucro Real
1500;43857223000182;ACTION SUPLEMENTOS LTDA;Lucro Presumido
1954;20026029000150;AEDL DIGITACAO LTDA;Lucro Presumido
1210;35919675000113;AGT ASSESSORIA GERENCIAL E TECNICA LTDA;Lucro Presumido
2971;09582812000167;AGX PRODUTOS ALIMENTICIOS LTDA;Lucro Presumido
3291;49792041000157;ALBERTINI & CORVINI LTDA;Lucro Presumido
109;29886718000109;ALGR GERENCIAMENTO E ADMINISTRACAO LTDA;Lucro Presumido
3205;59034892000194;ALLAN SANTOS CONSULTORES ASSOCIADOS LTDA;Lucro Presumido
1227;07295427000103;AMARAL COMERCIO DE AR CONDICIONADO LTDA;Lucro Presumido
1244;14699678000119;AMLABS LTDA;Lucro Presumido
1245;09179829000178;AMP BRASIL INDUSTRIA E COMERCIO DE PECAS LTDA - EPP;Lucro Presumido
3357;28366414000158;ANA CAROLINA DA COSTA CARVALHO;Lucro Presumido
1263;33483669000130;ANTONIO CARLOS GUARIENTE;Lucro Presumido
4947;11457949000131;APM DA EMEB HELOISA DE CARVALHO CRISSIUMA - NOSSA A PARTIR DE 01/09/2023 - ABERTURA EM 03/12/2009;Isentas
262;11272173000185;APM DA EMEB PREFEITO VICENTE JOSE MARCHIORI;Isentas
1658;43934152000174;APM DA EMEB PROFª DIRCE ANTONIO - DATA DE ABERTURA EM 23/09/2021 - DATA CADASTRO AE 05/11/2021;Isentas
263;11123523000141;APM DA EMEI PROFA. NEIZE QUAGLIO MATHEDI;Isentas
1272;10465450000103;ARAMIS ANTONIO CABRAL DOMONT;Lucro Presumido
1275;11633691000187;AREA 19 TELECOMUNICACOES LTDA;Lucro Presumido
291;31823575000138;ASSEMBLEIA DE DEUS MINISTERIO IRMAOS NA FE ;Isentas
1287;10510269000171;ASSIS GOMES & TEIXEIRA LTDA;Lucro Presumido
1228;05634377000116;ASSISTEC ARTIGOS PARA PISCINAS E MANUTENCAO LIMITA;Lucro Presumido
298;16502233000122;ASSOCIACAO AMIGOS DA ORQUESTRA DE VIOLAS CULTURA CAIPIRA DE VALINHOS;Isentas
3128;50980572000152;ASSOCIACAO ATLETICA BANCO DO BRASIL - NOSSA A PARTIR DE 22/12/2021;Isentas
4291;51167414000140;ASSOCIACAO BENEFICENTE ILE D OXUM YA PANDA - ABERTURA EM 23/06/2023;Isentas
305;51294189000103;ASSOCIACAO CAMPINEIRA DE IMPRENSA;Isentas
307;13491494000104;ASSOCIACAO CIVIL DE MORADORES DO JARDIM IMPERIAL;Isentas
310;04905866000100;ASSOCIAÇÃO CIVIL DE MORADORES DO JARDIM SÃO BENTO DO RECREIO - NOSSA A PARTIR DE 21/01/2021;Isentas
312;08173047000169;ASSOCIACAO CIVIL ECO VIDA AMBIENTAL;Isentas
1289;44636637000144;ASSOCIACAO COMERCIAL E INDUSTRIAL DE VALINHOS;Isentas
313;08185855000146;ASSOCIACAO COMPLETE VIDA;Isentas
3480;29501992000112;ASSOCIACAO CRISTA ACOLHER CUIDAR ENSINAR E SERVIR - NOSSA A PARTIR DE 01/06/2022;Imunes
316;28203797000143;ASSOCIACAO CULTURAL E ARTISTICA DE VALINHOS;Isentas
1290;05332435000157;ASSOCIACAO CULTURAL EDUCACIONAL SOCIAL E ASSISTENCIAL CAPUAVA;Isentas
1291;07735015000147;ASSOCIACAO DAS ENTIDADES DE ASSISTENCIA E SERVICOS DE UTILIDADE COMUNITARIA DE VALINHOS INTEGRANTES DA FESTA DO FIGO E EXPO GOIABA;Isentas
2489;51906121000138;ASSOCIACAO DE AMIGOS DO BAIRRO FAZENDA SAO BENTO DO RECREIO;Isentas
319;08459809000198;ASSOCIACAO DE ARTESAO E ARTISTAS PLASTICOS DE VALINHOS;Isentas
322;51299121000117;ASSOCIACAO DE ESPORTES PALMEIRINHAS;Isentas
325;35566621000111;ASSOCIACAO DE FOMENTO A AUTONOMIA;Isentas
327;29435857000116;ASSOCIACAO DE GUIAS E MONITORES DE TURISMO;Isentas
1292;20701309000116;ASSOCIACAO DE MORADORES DO BAIRRO JARDIM NOVA ESPIRITO SANTO;Isentas
328;29378687000185;ASSOCIACAO DE MORADORES RECANTO DOS PASSAROS;Isentas
329;10345242000170;ASSOCIACAO DE MOTOCICLISTAS MOTO CLUBE TIGRE DO VALE;Isentas
2491;11272183000110;ASSOCIACAO DE PAIS E MESTRES CEMEI PROFESSOR OSVALDO MULLER;Isentas
2488;10990756000189;ASSOCIACAO DE PAIS E MESTRES DA E.M.E.I. TIO PEDRO BRANDINI;Isentas
331;11267969000140;ASSOCIACAO DE PAIS E MESTRES DA EMEB ANTONIO FAVRIN;Isentas
1293;11272198000189;ASSOCIACAO DE PAIS E MESTRES DA EMEB DOUTORA YRMA DE ANDRADE FIORI;Isentas
333;11272205000142;ASSOCIACAO DE PAIS E MESTRES DA EMEB EMELY TOFOLO MACHADO;Isentas
1294;11272149000146;ASSOCIACAO DE PAIS E MESTRES DA EMEB PROFESSORA LELIA FRANCO BUENO LEME;Isentas
334;52350329000186;ASSOCIACAO DE PAIS E MESTRES DA EMEB TOMOHARU KIMBARA;Isentas
1295;11272157000192;ASSOCIACAO DE PAIS E MESTRES DA EMEB VEREADOR EBER CARLOS SEVERINO FORATTO;Isentas
335;11272189000198;ASSOCIACAO DE PAIS E MESTRES EMEB ANGELA TURCATTI;Isentas
336;11272180000187;ASSOCIACAO DE PAIS E MESTRES EMEB DOM AGNELO ROSSI;Isentas
1296;11250887000192;ASSOCIACAO DE PAIS E MESTRES EMEB DOM MARTINHO ROTH;Isentas
337;21755722000126;ASSOCIACAO DE PRESERVACAO HISTORICA DE VALINHOS - APHV;Isentas
339;07177032000106;ASSOCIACAO DESPORTIVA E CULTURAL VALINHENSE DE KUNG FU SHAOLIN DO NORTE;Isentas
340;31935253000180;ASSOCIACAO DOS CORREDORES DE VALINHOS - ACOVAL;Isentas
341;14432407000100;ASSOCIAÇÃO DOS MORADORES DO PARQUE VALINHOS - NOSSA A PARTIR DE 30/09/2011;Isentas
342;17023163000192;ASSOCIACAO DOS PROPRIETARIOS DO LOTEAMENTO CEDROS DO LIBANO;Isentas
345;36364535000199;ASSOCIACAO DOS PROPRIETARIOS E MORADORES DO RESIDENCIAL WALDIR BERNARDINETTI, RESIDENCIAL CHIRLEY CORAZZARI BERNARDINETTI E RESIDENCIAL HELENA DI SANTI BERNARDINETTI - ABERTURA EM 21/02/2020;Isentas
347;01382850000164;ASSOCIACAO DOS PROPRIETARIOS EM VILLA MONTEVERDE;Isentas
348;20120625000102;ASSOCIAÇÃO DOS SERVIDORES PUBLICOS D MUNICIPIO VALINHOS NOSSA08/2017;Isentas
1298;09211260000180;ASSOCIACAO DOS VITIVINICULTORES DE VALINHOS;Isentas
350;26569144000157;ASSOCIACAO EDUCACIONAL, CULTURAL E DESPORTIVO JOVEM FLORESTA DE KUNG FU;Isentas
2482;04676446000191;ASSOCIACAO EDUCATIVA E CULTURAL DE VALINHOS;Isentas
352;15468634000140;ASSOCIACAO ESPIRITA - GRUPO LUZ E ESPERANCA - NOSSA A PARTIR DE 23/09/2020;Isentas
355;29011914000130;ASSOCIACAO ESPORTIVA DO JARDIM PINHEIROS;Isentas
2494;23490749000160;ASSOCIACAO ESPORTIVA MAVERICKS FUTEBOL AMERICANO;Isentas
2490;03900075000117;ASSOCIACAO FILANTROPICA DE APOIO A ENTIDADES BENEFICENTES PUBLICAS E PRIVADAS;Isentas
359;08382027000106;ASSOCIACAO HABITACIONAL PRO-MORADIA DE VALINHOS, VINHEDO E LOUVEIRA;Isentas
361;08275185000159;ASSOCIACAO IGREJA EVANGELICA PENTECOSTAL NASCIDO DE DEUS;Isentas
364;06789232000157;ASSOCIACAO PROTETORA DOS ANIMAIS DE VALINHOS;Isentas
2483;49411200000126;ASSOCIACAO SAO CRISTOVAO DE ESPORTES;Isentas
